character,role,raw_health,shields,armor,effective_health,Unnamed: 6,Unnamed: 7,Role_types
Ana,Support,200,0,0,200.0,,,Tank
Ashe,Damage,200,0,0,200.0,,,Damage
Baptiste,Support,200,0,0,200.0,,,Support
Bastion,Damage,200,0,100,330.0,,,
Brigitte,Support,150,0,50,215.0,,,
Cassidy,Damage,225,0,0,225.0,,,
D.Va,Tank,350,0,300,740.0,,,
Doomfist,Tank,450,0,0,450.0,,,
Echo,Damage,200,0,0,200.0,,,
Genji,Damage,200,0,0,200.0,,,
Hanzo,Damage,200,0,0,200.0,,,
Illari,Support,200,0,0,200.0,,,
Junker Queen,Tank,450,0,0,450.0,,,
Junkrat,Damage,200,0,0,200.0,,,
Kiriko,Support,200,0,0,200.0,,,
Lifeweaver,Support,175,50,0,225.0,,,
Lucio,Support,200,0,0,200.0,,,
Mei,Damage,250,0,0,250.0,,,
Mercy,Support,200,0,0,200.0,,,
Moira,Support,200,0,0,200.0,,,
Orisa,Tank,275,0,275,632.5,,,
Pharah,Damage,200,0,0,200.0,,,
Ramattra,Tank,450,0,0,450.0,,,
Reaper,Damage,250,0,0,250.0,,,
Reinhardt,Tank,350,0,250,675.0,,,
Roadhog,Tank,700,0,0,700.0,,,
Sigma,Tank,250,200,0,450.0,,,
Sojourn,Damage,200,0,0,200.0,,,
Soldier: 76,Damage,200,0,0,200.0,,,
Sombra,Damage,200,0,0,200.0,,,
Symmetra,Damage,100,125,0,225.0,,,
Torbjorn,Damage,200,0,50,265.0,,,
Tracer,Damage,150,0,0,150.0,,,
Widowmaker,Damage,175,0,0,175.0,,,
Winston,Tank,350,0,200,610.0,,,
Wrecking Ball,Tank,450,150,100,730.0,,,
Zarya,Tank,250,225,0,475.0,,,
Zenyatta,Support,50,150,0,200.0,,,
