map,mode,country,total_objective_count
Busan,Control,South Korea,3
Illios,Control,Greece,3
Lijiang Tower,Control,China,3
Nepal,Control,Nepal,3
Oasis,Control,Iraq,3
Antartica Peninsula,Control,Antartica,3
Circuit Royal,Escort,Monaco,3
Dorado,Escort,Mexico,3
Havana,Escort,Cuba,3
Junkertown,Escort,Australia,3
Rialto,Escort,Italy,3
Route 66,Escort,United States,3
Shambali Monastery,Escort,Nepal,3
Watchpoint: Gibraltar,Escort,Gibraltar,3
New Junk City,Flashpoint,Australia,5
Suravasa,Flashpoint,India,5
Blizzard World,Hybrid,United States,3
Eichenwalde,Hybrid,Germany,3
Hollywood,Hybrid,United States,3
King's Row,Hybrid,United Kingdom,3
Midtown,Hybrid,United States,3
Paraiso,Hybrid,Brazil,3
Colosseo,Push,Italy,2
Esperanca,Push,Portugal,2
New Queen Street,Push,Canada,2
